,high
2000-10-25 09:00:00,54.5921516418457
2000-10-26 09:00:00,53.840885162353516
2000-10-27 09:00:00,52.83904266357422
2000-10-30 09:00:00,49.33330535888672
2000-10-31 09:00:00,49.583885192871094
2000-11-01 09:00:00,50.58525085449219
2000-11-02 09:00:00,51.837677001953125
2000-11-03 09:00:00,55.09283447265625
2000-11-06 09:00:00,55.343414306640625
2000-11-07 09:00:00,58.34846878051758
2000-11-08 09:00:00,61.35352325439453
2000-11-09 09:00:00,57.597206115722656
2000-11-10 09:00:00,57.597206115722656
2000-11-13 09:00:00,54.34156799316406
2000-11-14 09:00:00,54.5921516418457
2000-11-15 09:00:00,55.343414306640625
2000-11-16 09:00:00,52.83904266357422
2000-11-17 09:00:00,50.08456802368164
2000-11-20 09:00:00,46.077667236328125
2000-11-21 09:00:00,47.07951354980469
2000-11-22 09:00:00,48.5820426940918
2000-11-23 09:00:00,45.07630157470703
2000-11-24 09:00:00,47.580196380615234
2000-11-27 09:00:00,49.08272171020508
2000-11-28 09:00:00,47.07951354980469
2000-11-29 09:00:00,45.82756805419922
2000-11-30 09:00:00,46.077667236328125
2000-12-01 09:00:00,45.82756805419922
2000-12-04 09:00:00,44.825721740722656
2000-12-05 09:00:00,44.825721740722656
2000-12-06 09:00:00,47.07951354980469
2000-12-07 09:00:00,45.57698440551758
2000-12-08 09:00:00,45.82756805419922
2000-12-11 09:00:00,45.82756805419922
2000-12-12 09:00:00,46.57883071899414
2000-12-13 09:00:00,46.57883071899414
2000-12-14 09:00:00,45.82756805419922
2000-12-15 09:00:00,44.57514190673828
2000-12-18 09:00:00,43.823875427246094
2000-12-19 09:00:00,42.07124710083008
2000-12-20 09:00:00,41.57008743286133
2000-12-21 09:00:00,39.81745529174805
2000-12-22 09:00:00,40.568721771240234
2000-12-25 09:00:00,39.066192626953125
2000-12-26 09:00:00,40.06755828857422
2000-12-27 09:00:00,38.06434631347656
2000-12-28 09:00:00,40.06755828857422
2000-12-29 09:00:00,40.81882095336914
2001-01-01 09:00:00,39.81745529174805
2001-01-02 09:00:00,41.8206672668457
2001-01-03 09:00:00,41.319984436035156
2001-01-04 09:00:00,43.07261276245117
2001-01-05 09:00:00,45.3264045715332
2001-01-08 09:00:00,46.82893371582031
2001-01-09 09:00:00,46.57883071899414
2001-01-10 09:00:00,47.580196380615234
2001-01-11 09:00:00,47.83077621459961
2001-01-12 09:00:00,47.07951354980469
2001-01-15 09:00:00,47.33009338378906
